main_grouping,total_numFound_2020_2023,average_numFound_2020_2023,min_numFound_2020_2023,max_numFound_2020_2023,std_numFound_2020_2023
KNAW,4109,685,101,1324,467.95
NFU,150366,18796,6109,25574,7215.01
NWO-i,6316,1053,168,2648,868.59
UNL,541455,38675,5445,68465,18054.9
VH,12264,372,0,2851,574.86
