main_grouping,total_numFound_2021_2024,average_numFound_2021_2024,min_numFound_2021_2024,max_numFound_2021_2024,std_numFound_2021_2024
INDP,10733,1533,46,7754,2841.52
KNAW,14793,1849,92,7820,2625.14
NFU,150264,18783,6419,25984,7013.54
NWO,1144,1144,1144,1144,
NWO-i,17744,2535,141,11899,4201.61
RIJK,8218,1644,104,6297,2674.01
UN,1526,1526,1526,1526,
UNL,535256,38233,5622,65528,17458.78
VH,12546,380,0,2813,579.75
